# A small subset of The Boston Housing Dataset
# https://www.cs.toronto.edu/~delve/data/boston/bostonDetail.html
# 
# CRIM - per capita crime rate by town
# INDUS - proportion of non-retail business acres per town.
# RM - average number of rooms per dwelling
# MEDV - Median value of owner-occupied homes in $1000's
#
CRIM,INDUS,RM,MEDV
0.01432,1.32,6.816,31.6
0.15445,5.13,6.145,23.3
0.10328,5.13,5.927,19.6
0.14932,5.13,5.741,18.7
0.17171,5.13,5.966,16.0
0.11027,5.13,6.456,22.2
0.1265,5.13,6.762,25.0
0.01951,1.38,7.104,33.0
0.03584,3.37,6.29,23.5
0.04379,3.37,5.787,19.4
0.05789,6.07,5.878,22.0
0.13554,6.07,5.594,17.4
0.12816,6.07,5.885,20.9
0.08826,10.81,6.417,24.2
0.15876,10.81,5.961,21.7
0.09164,10.81,6.065,22.8
0.19539,10.81,6.245,23.4
0.07896,12.83,6.273,24.1
0.09512,12.83,6.286,21.4
0.10153,12.83,6.279,20.0
0.08707,12.83,6.14,20.8
0.05646,12.83,6.232,21.2
0.08387,12.83,5.874,20.3
0.04113,4.86,6.727,28.0
0.04462,4.86,6.619,23.9
0.03659,4.86,6.302,24.8
0.03551,4.86,6.167,22.9
0.05059,4.49,6.389,23.9
0.05735,4.49,6.63,26.6
0.05188,4.49,6.015,22.5
0.07151,4.49,6.121,22.2
0.0566,3.41,7.007,23.6
0.05302,3.41,7.079,28.7
0.04684,3.41,6.417,22.6
0.03932,3.41,6.405,22.0
0.04203,15.04,6.442,22.9
0.02875,15.04,6.211,25.0
0.04294,15.04,6.249,20.6
0.12204,2.89,6.625,28.4
0.11504,2.89,6.163,21.4
0.12083,2.89,8.069,38.7
0.08187,2.89,7.82,43.8
0.0686,2.89,7.416,33.2
0.14866,8.56,6.727,27.5
0.11432,8.56,6.781,26.5
0.22876,8.56,6.405,18.6
0.21161,8.56,6.137,19.3
0.1396,8.56,6.167,20.1
0.13262,8.56,5.851,19.5
0.1712,8.56,5.836,19.5
0.13117,8.56,6.127,20.4
0.12802,8.56,6.474,19.8
0.26363,8.56,6.229,19.4
0.10793,8.56,6.195,21.7
0.10084,10.01,6.715,22.8
0.12329,10.01,5.913,18.8
0.22212,10.01,6.092,18.7
0.14231,10.01,6.254,18.5
0.17134,10.01,5.928,18.3
0.13158,10.01,6.176,21.2
0.15098,10.01,6.021,19.2
0.13058,10.01,5.872,20.4
0.14476,10.01,5.731,19.3
0.06899,25.65,5.87,22.0
0.07165,25.65,6.004,20.3
0.09299,25.65,5.961,20.5
0.15038,25.65,5.856,17.3
0.09849,25.65,5.879,18.8
0.16902,25.65,5.986,21.4
0.38735,25.65,5.613,15.7
0.25915,21.89,5.693,16.2
0.32543,21.89,6.431,18.0
0.88125,21.89,5.637,14.3
0.34006,21.89,6.458,19.2
1.19294,21.89,6.326,19.6
0.59005,21.89,6.372,23.0
0.32982,21.89,5.822,18.4
0.97617,21.89,5.757,15.6
0.55778,21.89,6.335,18.1
0.32264,21.89,5.942,17.4
0.35233,21.89,6.454,17.1
0.2498,21.89,5.857,13.3
0.54452,21.89,6.151,17.8
0.2909,21.89,6.174,14.0
1.62864,21.89,5.019,14.4
3.32105,19.58,5.403,13.4
4.0974,19.58,5.468,15.6
2.77974,19.58,4.903,11.8
2.37934,19.58,6.13,13.8
2.15505,19.58,5.628,15.6
2.36862,19.58,4.926,14.6
2.33099,19.58,5.186,17.8
2.73397,19.58,5.597,15.4
1.6566,19.58,6.122,21.5
1.49632,19.58,5.404,19.6
1.12658,19.58,5.012,15.3
2.14918,19.58,5.709,19.4
1.41385,19.58,6.129,17.0
3.53501,19.58,6.152,15.6
2.44668,19.58,5.272,13.1
1.22358,19.58,6.943,41.3
1.34284,19.58,6.066,24.3
1.42502,19.58,6.51,23.3
1.27346,19.58,6.25,27.0
1.46336,19.58,7.489,50.0
1.83377,19.58,7.802,50.0
1.51902,19.58,8.375,50.0
2.24236,19.58,5.854,22.7
2.924,19.58,6.101,25.0
2.01019,19.58,7.929,50.0
1.80028,19.58,5.877,23.8
2.3004,19.58,6.319,23.8
2.44953,19.58,6.402,22.3
1.20742,19.58,5.875,17.4
2.3139,19.58,5.88,19.1
0.13914,4.05,5.572,23.1
0.09178,4.05,6.416,23.6
0.08447,4.05,5.859,22.6
0.06664,4.05,6.546,29.4
0.07022,4.05,6.02,23.2
0.05425,4.05,6.315,24.6
0.06642,4.05,6.86,29.9
0.0578,2.46,6.98,37.2
0.06588,2.46,7.765,39.8
0.06888,2.46,6.144,36.2
0.09103,2.46,7.155,37.9
0.10008,2.46,6.563,32.5
0.08308,2.46,5.604,26.4
0.06047,2.46,6.153,29.6
0.05602,2.46,7.831,50.0
0.07875,3.44,6.782,32.0
0.12579,3.44,6.556,29.8
0.0837,3.44,7.185,34.9
0.09068,3.44,6.951,37.0
0.06911,3.44,6.739,30.5
0.08664,3.44,7.178,36.4
0.02187,2.93,6.8,31.1
0.01439,2.93,6.604,29.1
0.01381,0.46,7.875,50.0
0.04011,1.52,7.287,33.3
0.04666,1.52,7.107,30.3
0.03768,1.52,7.274,34.6
0.0315,1.47,6.975,34.9
0.01778,1.47,7.135,32.9
0.03445,2.03,6.162,24.1
0.02177,2.03,7.61,42.3
0.0351,2.68,7.853,48.5
0.02009,2.68,8.034,50.0
0.13642,10.59,5.891,22.6
0.22969,10.59,6.326,24.4
0.25199,10.59,5.783,22.5
0.13587,10.59,6.064,24.4
0.43571,10.59,5.344,20.0
0.17446,10.59,5.96,21.7
0.37578,10.59,5.404,19.3
0.21719,10.59,5.807,22.4
0.14052,10.59,6.375,28.1
0.28955,10.59,5.412,23.7
0.19802,10.59,6.182,25.0
0.0456,13.89,5.888,23.3
0.07013,13.89,6.642,28.7
0.11069,13.89,5.951,21.5
0.11425,13.89,6.373,23.0
0.35809,6.2,6.951,26.7
0.40771,6.2,6.164,21.7
0.62356,6.2,6.879,27.5
0.6147,6.2,6.618,30.1
0.31533,6.2,8.266,44.8
0.52693,6.2,8.725,50.0
0.38214,6.2,8.04,37.6
0.41238,6.2,7.163,31.6
0.29819,6.2,7.686,46.7
0.44178,6.2,6.552,31.5
0.537,6.2,5.981,24.3
0.46296,6.2,7.412,31.7
0.57529,6.2,8.337,41.7
0.33147,6.2,8.247,48.3
0.44791,6.2,6.726,29.0
0.33045,6.2,6.086,24.0
0.52058,6.2,6.631,25.1
0.51183,6.2,7.358,31.5
0.08244,4.93,6.481,23.7
0.09252,4.93,6.606,23.3
0.11329,4.93,6.897,22.0
0.10612,4.93,6.095,20.1
0.1029,4.93,6.358,22.2
0.12757,4.93,6.393,23.7
0.20608,5.86,5.593,17.6
0.19133,5.86,5.605,18.5
0.33983,5.86,6.108,24.3
0.19657,5.86,6.226,20.5
0.16439,5.86,6.433,24.5
0.19073,5.86,6.718,26.2
0.1403,5.86,6.487,24.4
0.21409,5.86,6.438,24.8
0.08221,5.86,6.957,29.6
0.36894,5.86,8.259,42.8
0.04819,3.64,6.108,21.9
0.03548,3.64,5.876,20.9
0.01538,3.75,7.454,44.0
0.61154,3.97,8.704,50.0
0.66351,3.97,7.333,36.0
0.65665,3.97,6.842,30.1
0.54011,3.97,7.203,33.8
0.53412,3.97,7.52,43.1
0.52014,3.97,8.398,48.8
0.82526,3.97,7.327,31.0
0.55007,3.97,7.206,36.5
0.76162,3.97,5.56,22.8
0.7857,3.97,7.014,30.7
0.57834,3.97,8.297,50.0
0.5405,3.97,7.47,43.5
0.09065,6.96,5.92,20.7
0.29916,6.96,5.856,21.1
0.16211,6.96,6.24,25.2
0.1146,6.96,6.538,24.4
0.22188,6.96,7.691,35.2
0.05644,6.41,6.758,32.4
0.09604,6.41,6.854,32.0
0.10469,6.41,7.267,33.2
0.06127,6.41,6.826,33.1
0.07978,6.41,6.482,29.1
0.21038,3.33,6.812,35.1
0.03578,3.33,7.82,45.4
0.03705,3.33,6.968,35.4
0.06129,3.33,7.645,46.0
0.01501,1.21,7.923,50.0
0.00906,2.97,7.088,32.2
0.01096,2.25,6.453,22.0
0.01965,1.76,6.23,20.1
0.03871,5.32,6.209,23.2
0.0459,5.32,6.315,22.3
0.04297,5.32,6.565,24.8
0.03502,4.95,6.861,28.5
0.07886,4.95,7.148,37.3
0.03615,4.95,6.63,27.9
0.08265,13.92,6.127,23.9
0.08199,13.92,6.009,21.7
0.12932,13.92,6.678,28.6
0.05372,13.92,6.549,27.1
0.14103,13.92,5.79,20.3
0.06466,2.24,6.345,22.5
0.05561,2.24,7.041,29.0
