for cs3 end-term exam 1
========
c1,c2,c3,c4,c5,c6,y
0.11,1.52,-1.7,0.45,0.59,0.18,2.61
2.7,-1.98,0.88,1.95,0.48,2.28,13.85
-3.14,1.84,-0.53,1.45,0.29,0.42,25.72
3.32,-0.35,3.38,-0.35,2.92,1.8,5.15
2.7,1.9,0.93,-0.46,2.73,-0.59,-12.27
3.08,1.27,2.06,1.36,0.59,1.84,0.01
0.67,0.26,-3.44,0.02,1.16,-1.09,-2.58
-1.27,1.41,1.25,2.13,1.06,1.72,17.52
0.39,-0.27,2.13,0.43,0.07,1.24,13.17
0.2,2.07,-1.25,2.0,0.79,1.62,15.47
0.81,0.66,0.51,-0.66,1.13,1.84,5.31
-1.76,0.6,3.06,0.62,0.91,2.26,26.06
3.56,1.39,0.38,-0.66,0.88,1.83,-11.05
3.54,0.57,0.99,1.58,1.06,-1.81,2.42
1.48,-1.71,-2.44,2.81,1.38,1.81,10.64
1.3,2.41,4.5,-0.02,0.03,1.47,3.07
2.29,2.1,-2.72,0.33,1.57,1.33,-5.6
3.87,1.72,1.02,2.07,-0.17,-0.13,1.96
-1.42,2.43,-2.68,0.25,1.74,-0.24,10.22
-0.44,1.91,3.87,2.01,0.81,1.66,19.7
3.05,2.18,1.01,1.06,1.13,2.45,-4.35
0.76,0.98,2.14,2.17,1.1,1.14,23.31
1.1,-0.41,1.7,0.21,2.7,0.92,7.39
1.04,1.53,2.22,-0.31,2.08,0.08,-1.15
-0.76,0.64,0.64,2.09,2.03,1.26,23.76
0.12,1.37,0.99,-0.01,0.81,3.12,11.3
4.08,1.03,3.44,0.82,1.03,1.43,1.34
-0.13,-0.14,2.57,-0.25,0.98,0.95,13.5
0.45,1.3,2.28,1.58,0.76,1.6,18.72
1.13,0.1,-0.78,2.88,0.78,0.83,21.76
1.85,3.03,0.53,2.75,0.43,0.06,11.38
2.06,-1.0,-1.79,0.59,0.73,0.88,3.67
-0.58,-1.0,1.34,1.06,0.55,1.37,14.25
1.42,0.52,-1.39,0.7,1.87,-0.7,6.27
3.29,1.01,1.38,0.1,-0.51,0.66,-1.97
-1.43,-0.51,-0.05,1.21,2.61,-0.16,23.05
